
========== OUTPUT ==========
Cloudlet ID    Cloudlet Length    Priority    STATUS    Data center ID    VM ID    VM Type    Time    Start Time    Finish Time
    224            20000            Low       SUCCESS        2            59            Low         200        700.1        900.1
    226            20000            Low       SUCCESS        2            63            Low         200        700.1        900.1
    231            20000            Low       SUCCESS        2            67            Low         200        700.1        900.1
    234            20000            Low       SUCCESS        2            73            Low         200        700.1        900.1
    235            20000            Low       SUCCESS        2            75            Low         200        700.1        900.1
    240            10000            Low       SUCCESS        2            79            Low         100        800.1        900.1
    241            10000            Low       SUCCESS        2            81            Low         100        800.1        900.1
    242            10000            Low       SUCCESS        2            83            Low         100        800.1        900.1
    243            10000            Low       SUCCESS        2            85            Low         100        800.1        900.1
    247            10000            Low       SUCCESS        2            89            Low         100        800.1        900.1
    248            10000            Low       SUCCESS        2            91            Low         100        800.1        900.1
    251            10000            Low       SUCCESS        2            95            Low         100        800.1        900.1
    254            10000            Low       SUCCESS        2            97            Low         100        800.1        900.1
    257            10000            Low       SUCCESS        2            99            Low         100        800.1        900.1
    41            30000            High      SUCCESS        2            7            High        300        700.1        1000.1
    15            100000            High      SUCCESS        2            17            High        1000        0.1        1000.1
    16            100000            High      SUCCESS        2            19            High        1000        0.1        1000.1
    162            50000            High      SUCCESS        2            20            Low         500        500.1        1000.1
    258            20000            Low       SUCCESS        2            21            Low         200        800.1        1000.1
    259            20000            Low       SUCCESS        2            23            Low         200        800.1        1000.1
    262            20000            Low       SUCCESS        2            27            Low         200        800.1        1000.1
    270            10000            Low       SUCCESS        2            29            Low         100        900.1        1000.1
    271            10000            Low       SUCCESS        2            31            Low         100        900.1        1000.1
    274            10000            Low       SUCCESS        2            35            Low         100        900.1        1000.1
    280            10000            Low       SUCCESS        2            37            Low         100        900.1        1000.1
    283            10000            Low       SUCCESS        2            39            Low         100        900.1        1000.1
    291            10000            Low       SUCCESS        2            47            Low         100        900.1        1000.1
    238            20000            Low       SUCCESS        2            77            Low         200        800.1        1000.1
    246            20000            Low       SUCCESS        2            87            Low         200        800.1        1000.1
    250            20000            Low       SUCCESS        2            93            Low         200        800.1        1000.1
    58            30000            High      SUCCESS        2            5            High        300        800.1        1100.1
    167            50000            High      SUCCESS        2            8            High        500        600.1        1100.1
    63            20000            High      SUCCESS        2            13            High        200        900.1        1100.1
    77            60000            High      SUCCESS        2            15            High        600        500.1        1100.1
    35            10000            High      SUCCESS        2            19            High        100        1000.1        1100.1
    178            10000            High      SUCCESS        2            20            Low         100        1000.1        1100.1
    273            20000            Low       SUCCESS        2            33            Low         200        900.1        1100.1
    284            20000            Low       SUCCESS        2            41            Low         200        900.1        1100.1
    285            20000            Low       SUCCESS        2            43            Low         200        900.1        1100.1
    286            20000            Low       SUCCESS        2            45            Low         200        900.1        1100.1
    296            10000            Low       SUCCESS        2            51            Low         100        1000.1        1100.1
    297            10000            Low       SUCCESS        2            53            Low         100        1000.1        1100.1
    300            10000            Low       SUCCESS        2            57            Low         100        1000.1        1100.1
    312            10000            Low       SUCCESS        2            69            Low         100        1000.1        1100.1
    36            40000            High      SUCCESS        2            1            High        400        800.1        1200.1
    163            70000            High      SUCCESS        2            2            High        700        500.1        1200.1
    32            20000            High      SUCCESS        2            17            High        200        1000.1        1200.1
    196            10000            High      SUCCESS        2            20            Low         100        1100.1        1200.1
    340            10000            Low       SUCCESS        2            21            Low         100        1100.1        1200.1
    343            10000            Low       SUCCESS        2            23            Low         100        1100.1        1200.1
    344            10000            Low       SUCCESS        2            25            Low         100        1100.1        1200.1
    293            20000            Low       SUCCESS        2            49            Low         200        1000.1        1200.1
    298            20000            Low       SUCCESS        2            55            Low         200        1000.1        1200.1
    301            20000            Low       SUCCESS        2            59            Low         200        1000.1        1200.1
    302            20000            Low       SUCCESS        2            61            Low         200        1000.1        1200.1
    303            20000            Low       SUCCESS        2            63            Low         200        1000.1        1200.1
    306            20000            Low       SUCCESS        2            65            Low         200        1000.1        1200.1
    307            20000            Low       SUCCESS        2            67            Low         200        1000.1        1200.1
    315            10000            Low       SUCCESS        2            75            Low         100        1100.1        1200.1
    330            10000            Low       SUCCESS        2            87            Low         100        1100.1        1200.1
    331            10000            Low       SUCCESS        2            89            Low         100        1100.1        1200.1
    336            10000            Low       SUCCESS        2            95            Low         100        1100.1        1200.1
    339            10000            Low       SUCCESS        2            99            Low         100        1100.1        1200.1
    39            70000            High      SUCCESS        2            3            High        700        600.1        1300.1
    157            80000            High      SUCCESS        2            12            High        800        500.1        1300.1
    76            20000            High      SUCCESS        2            13            High        200        1100.1        1300.1
    158            80000            High      SUCCESS        2            14            High        800        500.1        1300.1
    350            10000            Low       SUCCESS        2            29            Low         100        1200.1        1300.1
    357            10000            Low       SUCCESS        2            31            Low         100        1200.1        1300.1
    359            10000            Low       SUCCESS        2            35            Low         100        1200.1        1300.1
    361            10000            Low       SUCCESS        2            39            Low         100        1200.1        1300.1
    363            10000            Low       SUCCESS        2            41            Low         100        1200.1        1300.1
    364            10000            Low       SUCCESS        2            43            Low         100        1200.1        1300.1
    371            10000            Low       SUCCESS        2            47            Low         100        1200.1        1300.1
    373            10000            Low       SUCCESS        2            49            Low         100        1200.1        1300.1
    313            20000            Low       SUCCESS        2            71            Low         200        1100.1        1300.1
    314            20000            Low       SUCCESS        2            73            Low         200        1100.1        1300.1
    316            20000            Low       SUCCESS        2            77            Low         200        1100.1        1300.1
    317            20000            Low       SUCCESS        2            79            Low         200        1100.1        1300.1
    321            20000            Low       SUCCESS        2            81            Low         200        1100.1        1300.1
    325            20000            Low       SUCCESS        2            83            Low         200        1100.1        1300.1
    326            20000            Low       SUCCESS        2            85            Low         200        1100.1        1300.1
    333            20000            Low       SUCCESS        2            91            Low         200        1100.1        1300.1
    334            20000            Low       SUCCESS        2            93            Low         200        1100.1        1300.1
    338            20000            Low       SUCCESS        2            97            Low         200        1100.1        1300.1
    42            80000            High      SUCCESS        2            9            High        800        600.1        1400.1
    345            20000            Low       SUCCESS        2            27            Low         200        1200.1        1400.1
    358            20000            Low       SUCCESS        2            33            Low         200        1200.1        1400.1
    360            20000            Low       SUCCESS        2            37            Low         200        1200.1        1400.1
    365            20000            Low       SUCCESS        2            45            Low         200        1200.1        1400.1
    374            20000            Low       SUCCESS        2            51            Low         200        1200.1        1400.1
    382            10000            Low       SUCCESS        2            59            Low         100        1300.1        1400.1
    384            10000            Low       SUCCESS        2            61            Low         100        1300.1        1400.1
    386            10000            Low       SUCCESS        2            63            Low         100        1300.1        1400.1
    393            10000            Low       SUCCESS        2            73            Low         100        1300.1        1400.1
    394            10000            Low       SUCCESS        2            75            Low         100        1300.1        1400.1
    396            10000            Low       SUCCESS        2            77            Low         100        1300.1        1400.1
    399            10000            Low       SUCCESS        2            79            Low         100        1300.1        1400.1
    401            10000            Low       SUCCESS        2            83            Low         100        1300.1        1400.1
    165            100000            High      SUCCESS        2            4            High        1000        500.1        1500.1
    166            100000            High      SUCCESS        2            6            High        1000        500.1        1500.1
    168            90000            High      SUCCESS        2            10            High        900        600.1        1500.1
    175            80000            High      SUCCESS        2            16            High        800        700.1        1500.1
    160            100000            High      SUCCESS        2            18            High        1000        500.1        1500.1
    419            10000            Low       SUCCESS        2            25            Low         100        1400.1        1500.1
    426            10000            Low       SUCCESS        2            35            Low         100        1400.1        1500.1
    378            20000            Low       SUCCESS        2            53            Low         200        1300.1        1500.1
    379            20000            Low       SUCCESS        2            55            Low         200        1300.1        1500.1
    381            20000            Low       SUCCESS        2            57            Low         200        1300.1        1500.1
    387            20000            Low       SUCCESS        2            65            Low         200        1300.1        1500.1
    388            20000            Low       SUCCESS        2            67            Low         200        1300.1        1500.1
    390            20000            Low       SUCCESS        2            69            Low         200        1300.1        1500.1
    391            20000            Low       SUCCESS        2            71            Low         200        1300.1        1500.1
    400            20000            Low       SUCCESS        2            81            Low         200        1300.1        1500.1
    402            20000            Low       SUCCESS        2            85            Low         200        1300.1        1500.1
    408            10000            Low       SUCCESS        2            89            Low         100        1400.1        1500.1
    409            10000            Low       SUCCESS        2            91            Low         100        1400.1        1500.1
    410            10000            Low       SUCCESS        2            93            Low         100        1400.1        1500.1
    414            10000            Low       SUCCESS        2            97            Low         100        1400.1        1500.1
    416            10000            Low       SUCCESS        2            99            Low         100        1400.1        1500.1
    60            20000            High      SUCCESS        2            9            High        200        1400.1        1600.1
    418            20000            Low       SUCCESS        2            23            Low         200        1400.1        1600.1
    420            20000            Low       SUCCESS        2            27            Low         200        1400.1        1600.1
    421            20000            Low       SUCCESS        2            29            Low         200        1400.1        1600.1
    422            20000            Low       SUCCESS        2            31            Low         200        1400.1        1600.1
    424            20000            Low       SUCCESS        2            33            Low         200        1400.1        1600.1
    428            20000            Low       SUCCESS        2            37            Low         200        1400.1        1600.1
    430            20000            Low       SUCCESS        2            39            Low         200        1400.1        1600.1
    432            20000            Low       SUCCESS        2            41            Low         200        1400.1        1600.1
    437            10000            Low       SUCCESS        2            43            Low         100        1500.1        1600.1
    438            10000            Low       SUCCESS        2            45            Low         100        1500.1        1600.1
    439            10000            Low       SUCCESS        2            47            Low         100        1500.1        1600.1
    441            10000            Low       SUCCESS        2            49            Low         100        1500.1        1600.1
    447            10000            Low       SUCCESS        2            51            Low         100        1500.1        1600.1
    452            10000            Low       SUCCESS        2            57            Low         100        1500.1        1600.1
    454            10000            Low       SUCCESS        2            61            Low         100        1500.1        1600.1
    405            20000            Low       SUCCESS        2            87            Low         200        1400.1        1600.1
    413            20000            Low       SUCCESS        2            95            Low         200        1400.1        1600.1
    59            70000            High      SUCCESS        2            7            High        700        1000.1        1700.1
    74            10000            High      SUCCESS        2            9            High        100        1600.1        1700.1
    29            100000            High      SUCCESS        2            11            High        1000        700.1        1700.1
    54            60000            High      SUCCESS        2            19            High        600        1100.1        1700.1
    448            20000            Low       SUCCESS        2            53            Low         200        1500.1        1700.1
    451            20000            Low       SUCCESS        2            55            Low         200        1500.1        1700.1
    453            20000            Low       SUCCESS        2            59            Low         200        1500.1        1700.1
    455            20000            Low       SUCCESS        2            63            Low         200        1500.1        1700.1
    458            20000            Low       SUCCESS        2            65            Low         200        1500.1        1700.1
    461            20000            Low       SUCCESS        2            67            Low         200        1500.1        1700.1
    462            20000            Low       SUCCESS        2            69            Low         200        1500.1        1700.1
    466            10000            Low       SUCCESS        2            71            Low         100        1600.1        1700.1
    469            10000            Low       SUCCESS        2            75            Low         100        1600.1        1700.1
    470            10000            Low       SUCCESS        2            77            Low         100        1600.1        1700.1
    472            10000            Low       SUCCESS        2            79            Low         100        1600.1        1700.1
    473            10000            Low       SUCCESS        2            81            Low         100        1600.1        1700.1
    479            10000            Low       SUCCESS        2            87            Low         100        1600.1        1700.1
    481            10000            Low       SUCCESS        2            89            Low         100        1600.1        1700.1
    486            10000            Low       SUCCESS        2            95            Low         100        1600.1        1700.1
    490            10000            Low       SUCCESS        2            99            Low         100        1600.1        1700.1
    186            30000            High      SUCCESS        2            10            High        300        1500.1        1800.1
    103            70000            High      SUCCESS        2            15            High        700        1100.1        1800.1
    177            30000            High      SUCCESS        2            18            High        300        1500.1        1800.1
    217            60000            High      SUCCESS        2            20            Low         600        1200.1        1800.1
    506            10000            Low       SUCCESS        2            34            Low         100        1700.1        1800.1
    507            10000            Low       SUCCESS        2            36            Low         100        1700.1        1800.1
    508            10000            Low       SUCCESS        2            38            Low         100        1700.1        1800.1
    467            20000            Low       SUCCESS        2            73            Low         200        1600.1        1800.1
    477            20000            Low       SUCCESS        2            83            Low         200        1600.1        1800.1
    478            20000            Low       SUCCESS        2            85            Low         200        1600.1        1800.1
    482            20000            Low       SUCCESS        2            91            Low         200        1600.1        1800.1
    485            20000            Low       SUCCESS        2            93            Low         200        1600.1        1800.1
    488            20000            Low       SUCCESS        2            97            Low         200        1600.1        1800.1
    100            60000            High      SUCCESS        2            13            High        600        1300.1        1900.1
    415            50000            High      SUCCESS        2            21            Low         500        1400.1        1900.1
    495            20000            Low       SUCCESS        2            26            Low         200        1700.1        1900.1
    502            20000            Low       SUCCESS        2            28            Low         200        1700.1        1900.1
    503            20000            Low       SUCCESS        2            30            Low         200        1700.1        1900.1
    504            20000            Low       SUCCESS        2            32            Low         200        1700.1        1900.1
    514            20000            Low       SUCCESS        2            40            Low         200        1700.1        1900.1
    517            20000            Low       SUCCESS        2            42            Low         200        1700.1        1900.1
    521            10000            Low       SUCCESS        2            46            Low         100        1800.1        1900.1
    522            10000            Low       SUCCESS        2            48            Low         100        1800.1        1900.1
    524            10000            Low       SUCCESS        2            50            Low         100        1800.1        1900.1
    528            10000            Low       SUCCESS        2            54            Low         100        1800.1        1900.1
    530            10000            Low       SUCCESS        2            56            Low         100        1800.1        1900.1
    532            10000            Low       SUCCESS        2            58            Low         100        1800.1        1900.1
    539            10000            Low       SUCCESS        2            68            Low         100        1800.1        1900.1
    540            10000            Low       SUCCESS        2            70            Low         100        1800.1        1900.1
    541            10000            Low       SUCCESS        2            72            Low         100        1800.1        1900.1
    71            90000            High      SUCCESS        2            5            High        900        1100.1        2000.1
    73            30000            High      SUCCESS        2            7            High        300        1700.1        2000.1
    184            90000            High      SUCCESS        2            8            High        900        1100.1        2000.1
    206            20000            High      SUCCESS        2            10            High        200        1800.1        2000.1
    44            30000            High      SUCCESS        2            11            High        300        1700.1        2000.1
    484            40000            High      SUCCESS        2            23            Low         400        1600.1        2000.1
    519            20000            Low       SUCCESS        2            44            Low         200        1800.1        2000.1
    525            20000            Low       SUCCESS        2            52            Low         200        1800.1        2000.1
    533            20000            Low       SUCCESS        2            60            Low         200        1800.1        2000.1
    534            20000            Low       SUCCESS        2            62            Low         200        1800.1        2000.1
    535            20000            Low       SUCCESS        2            64            Low         200        1800.1        2000.1
    538            20000            Low       SUCCESS        2            66            Low         200        1800.1        2000.1
    545            10000            Low       SUCCESS        2            74            Low         100        1900.1        2000.1
    548            10000            Low       SUCCESS        2            78            Low         100        1900.1        2000.1
    550            10000            Low       SUCCESS        2            80            Low         100        1900.1        2000.1
    555            10000            Low       SUCCESS        2            88            Low         100        1900.1        2000.1
    556            10000            Low       SUCCESS        2            90            Low         100        1900.1        2000.1
    560            10000            Low       SUCCESS        2            94            Low         100        1900.1        2000.1
    561            10000            Low       SUCCESS        2            96            Low         100        1900.1        2000.1
    55            90000            High      SUCCESS        2            1            High        900        1200.1        2100.1
    113            20000            High      SUCCESS        2            13            High        200        1900.1        2100.1
    51            90000            High      SUCCESS        2            17            High        900        1200.1        2100.1
    583            10000            Low       SUCCESS        2            30            Low         100        2000.1        2100.1
    587            10000            Low       SUCCESS        2            36            Low         100        2000.1        2100.1
    588            10000            Low       SUCCESS        2            38            Low         100        2000.1        2100.1
    591            10000            Low       SUCCESS        2            42            Low         100        2000.1        2100.1
    547            20000            Low       SUCCESS        2            76            Low         200        1900.1        2100.1
    551            20000            Low       SUCCESS        2            82            Low         200        1900.1        2100.1
    552            20000            Low       SUCCESS        2            84            Low         200        1900.1        2100.1
    553            20000            Low       SUCCESS        2            86            Low         200        1900.1        2100.1
    559            20000            Low       SUCCESS        2            92            Low         200        1900.1        2100.1
    566            20000            Low       SUCCESS        2            98            Low         200        1900.1        2100.1
